name,types,count_review,grade,price,platforms,developer,tags,date_release
Fate Hunters,Indie Games,(718 reviews),Mostly Positive,,хз,Tower Games,"Roguelike Deckbuilder,Strategy,Card Battler,Card Game,Deckbuilding,Indie,Roguelike,Roguelite,Turn-Based,Singleplayer,RPG,Adventure,Early Access","18 Jul, 2019"
Please close the doors,"Indie Games,К и Ко Franchise",(23 reviews),,12 pуб.,хз,Koyotis Studio,"Indie,Detective,Zombies,Thriller,RPGMaker,Pixel Graphics,2D,Visual Novel,Survival Horror,Singleplayer,Violent,Adventure,RPG,JRPG,Anime,Psychological Horror,Retro,Horror,1980s,Gore","29 Jan, 2018"
Jendo: Origins,Free to Play Games,(299 reviews),Very Positive,,хз,KLP Company,"Free to Play,Visual Novel,Anime,Indie,2D,Casual,Comedy,Story Rich,Atmospheric,Nudity,Singleplayer,First-Person,Cute,Adventure,Sexual Content,Hentai","5 Nov, 2020"
Gear of Glass: Eolarn's war,Indie Games,(12 reviews),Positive,252 pуб.,хз,Remnants of mosaic,"Visual Novel,Atmospheric,Dark,Drama,Survival,Story Rich,Emotional,Simulation,Science,Text-Based,Choices Matter,Multiple Endings,Narration,Idler,Exploration,2D,Hand-drawn,Psychological,Casual,Dystopian","7 Nov, 2021"
Race for Tuning,Racing Games,(416 reviews),Very Positive,74 pуб.,хз,A. Strazhev,"Automobile Sim,Racing,Simulation,Massively Multiplayer,Indie,Multiplayer,Driving,Open World,Action,Sandbox,Singleplayer,Realistic,Co-op,Arcade,Fast-Paced,Adventure,Atmospheric,First-Person,Online Co-Op,America","19 Apr, 2019"
Death Park,Adventure Games,(95 reviews),Very Positive,123 pуб.,хз,Euphoria Games,"Adventure,Indie,Horror,Action,Survival Horror,Psychological Horror,Puzzle,Singleplayer,Dark,Gore,Hidden Object,Violent,Replay Value,Blood,Great Soundtrack,Arcade,Exploration,Difficult,Atmospheric","26 Nov, 2019"
Fishermurs,Indie Games,(43 reviews),,15 pуб.,хз,Reward Hunters,"Action,Massively Multiplayer,Indie,Survival,Dark Humor,Sports,Arcade,Racing,eSports,Spectacle fighter,Arena Shooter,Top-Down Shooter,3D,Beautiful,Cute,Hand-drawn,Colorful,Naval,Bullet Time,PvE","13 Jun, 2017"
Stayhome Simulator,Simulation Games,(93 reviews),Very Positive,21 pуб.,хз,Two Inc,"Casual,Indie,Action,Adventure,Strategy,Simulation,Sports,Memes,Clicker,Politics,Economy,Family Friendly,Hacking,Grid-Based Movement,Puzzle,Horror,Singleplayer,Cartoony,Stylized,Colorful","22 May, 2020"
Warbanners,Strategy Games,(463 reviews),Mostly Positive,130 pуб.,хз,Crasleen Games,"Turn-Based Tactics,Turn-Based Combat,Tactical RPG,Turn-Based,Turn-Based Strategy,2D,Strategy,Strategy RPG,Tactical,Fantasy,RPG,Singleplayer,Replay Value,Difficult,Atmospheric,Medieval,Indie,Dark Fantasy,Story Rich,Adventure","18 Oct, 2017"
Death Park 2,Adventure Games,(107 reviews),Very Positive,123 pуб.,хз,Euphoria Games,"Adventure,Action,Puzzle,Arcade,Exploration,Hidden Object,Horror,Survival Horror,FPS,First-Person,Dark,Psychological Horror,Indie,Singleplayer,Blood,Gore,Violent,Replay Value,Difficult","24 Feb, 2021"
Mind Rite,Indie Games,(25 reviews),Positive,170 pуб.,хз,Albino Studio,"Indie,Casual,Visual Novel,Otome,Fantasy,Singleplayer,Cute,Romance,Choices Matter,Anime,Female Protagonist,Detective,2D,First-Person,Side Scroller","19 Feb, 2022"
7th Sector,Indie Games,(510 reviews),Mostly Positive,88 pуб.,хз,Носков Сергей,"3D Platformer,Puzzle Platformer,Racing,PvE,Walking Simulator,Arcade,Third Person,Noir,Cyberpunk,Alternate History,Horror,Choices Matter,Multiple Endings,Action,Stylized,Sci-fi,Philosophical,Adventure,Beautiful,Singleplayer","5 Mar, 2019"
Survive on Raft,Simulation Games,(626 reviews),Mostly Positive,99 pуб.,хз,IO Games,"Multiplayer,Simulation,Survival,Indie,Open World Survival Craft,Crafting,Open World,Singleplayer,Building,Sandbox,Base Building,First-Person,Adventure,Fishing,Action,Exploration,Co-op,Resource Management,Realistic,Difficult","5 Jul, 2019"
Loco Parentis / 孤女咒怨,Indie Games,(360 reviews),,219 pуб.,хз,Fair Games Studio,"Indie,Adventure,Horror,Co-op,Action,Massively Multiplayer,RPG,Dark,VR,Psychological Horror,Violent,Mystery,Online Co-Op,Roguelite,Gore,First-Person,Story Rich","19 Sep, 2019"
Demon Skin,"Action Games,ESDigital Games Franchise",(66 reviews),Mostly Positive,152 pуб.,хз,Ludus future,"Action,RPG,Hack and Slash,Side Scroller,Dark,Singleplayer,Platformer,Dark Fantasy,Linear,3D,3D Platformer,Adventure,Combat,3D Fighter,Action-Adventure,2.5D,Atmospheric,Controller,Magic,Beat 'em up","13 Apr, 2021"
Mimicry,Action Games,(43 reviews),Very Positive,106 pуб.,хз,Euphoria Games,"Survival,Action,Space,Minigames,Horror,Gore,Blood,Online Co-Op,Multiplayer,Psychological Horror,Violent,Co-op,Team-Based,Stealth,Indie,Atmospheric,Survival Horror,Social Deduction,Casual,3D","25 Aug, 2022"
